GEO,SHELTER_ID,SHELTER_NAME,ADDRESS_1,CITY,COUNTY_PARISH,FIPS_CODE,STATE,ZIP,MAIL_ADDR_SAME_AS_PHYS_ADDR,MAILING_ADDRESS_1,MAILING_ADDRESS_2,MAILING_CITY,MAILING_COUNTY_PARISH,MAILING_STATE,MAILING_ZIP,FACILITY_USAGE_CODE,EVACUATION_CAPACITY,POST_IMPACT_CAPACITY,ADA_COMPLIANT,WHEELCHAIR_ACCESSIBLE,PET_ACCOMMODATIONS_CODE,PET_ACCOMMODATIONS_DESC,GENERATOR_ONSITE,SELF_SUFFICIENT_ELECTRICITY,LATITUDE,LONGITUDE,IN_100_YR_FLOODPLAIN,IN_500_YR_FLOODPLAIN,IN_SURGE_SLOSH_AREA,PRE_LANDFALL_SHELTER,SHELTER_CODE,ORG_ORGANIZATION_ID,ORG_ORGANIZATION_NAME,ORG_MAIN_PHONE,ORG_FAX,ORG_EMAIL,ORG_HOTLINE_PHONE,ORG_OTHER_PHONE,ORG_ADDRESS,ORG_CITY,ORG_STATE,ORG_ZIP,ORG_POC_NAME,ORG_POC_PHONE,ORG_POC_AFTER_HOURS_PHONE,ORG_POC_EMAIL,ORG_HOURS_OF_OPERATION,POPULATION_CODE,INCIDENT_ID,SHELTER_STATUS_CODE,SHELTER_OPEN_DATE,SHELTER_CLOSED_DATE,REPORTING_PERIOD,GENERAL_POPULATION,MEDICAL_NEEDS_POPULATION,OTHER_POPULATION,OTHER_POPULATION_DESCRIPTION,TOTAL_POPULATION,PET_POPULATION,INCIDENT_NUMBER,INCIDENT_NAME,INCIDENT_CODE,OBJECTID,SCORE,STATUS,MATCH_TYPE,LOC_NAME,GEOX,GEOY,FACILITY_TYPE,SUBFACILITY_CODE,DATA_SOURCE_ID
"{
  ""coordinates"": [
    -9.435931093899995e+01,
    3.255512724300007e+01
  ],
  ""type"": ""Point""
}",334462,Lions Community Center,303 W Burleson,Marshall,Harrison, ,TX,75670, , , , , , , ,BOTH,100,100,NO,YES,NONE, ,NO,YES,32.55512724,-94.35931094, , ,UNK,UNK,GENERAL,121365,EAST TEXAS PINEY WOODS CHAPTER, , , , , ,1604 Hwy 31,LONGVIEW,TX,75604, , , , ,8:30-4:30,GENERAL,374,CLOSED,2020-02-09 11:00:00.000,2011-02-11 00:00:00.000,OVERNIGHT,0,0,0, ,0,0,#TX0211-01,N TX 02/11 Blizzard - STATEWIDE,BLI,654907,100,M,A,Street,-94.35931094,32.55512724,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.999953263899994e+01,
    3.513926614100006e+01
  ],
  ""type"": ""Point""
}",299260,Memphis Catholic High School,61 N. McLean,MEMPHIS,SHELBY, ,TN,38104,YES, , , , , , ,BOTH,225,112, , , , , , ,35.13926614,-89.99953264, , , , ,GENERAL,121612,MID-SOUTH CHAPTER, , , , , ,1400 CENTRAL AVE,MEMPHIS,TN,38104, , , , ,8,GENERAL,0,CLOSED,2020-08-30 08:00:00.000,, ,0,0,0, ,0,0, , , ,655618,86,M,A,Street,-89.99953264,35.13926614,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.728998328399996e+01,
    3.048629087400008e+01
  ],
  ""type"": ""Point""
}",70881,Success Academy,2400 Longleaf Dr.,PENSACOLA,ESCAMBIA, ,FL,32526,NO, , , , , , ,EVAC,1,0, , , , , , ,30.48629087,-87.28998328, , , , ,MEDICAL-FUNCTIONAL,119224,Florida Department of Health, , , , , ,Emergency Medical Services,Tallahassee,FL,32399, , , , , ,MEDICAL,6840,CLOSED,2017-09-09 00:00:00.000,2017-09-11 00:00:00.000,OVERNIGHT,30,,,,30,,41418,Hurricane Irma FL 9/18 HUR,UNK,656161,100,M,A,Street,-87.28998328,30.48629087,SHELTER,OTHER,0
"{
  ""coordinates"": [
    -8.822931614999999e+01,
    3.339570555700004e+01
  ],
  ""type"": ""Point""
}",73291,ETHELSVILLE BAPTIST CHURCH,6704 COUNTY RD 75,ETHELSVILLE,PICKENS, ,AL,35461,NO,P O BOX  143, ,ETHELSVILLE, ,AL,35461,EVAC,50,25, , , , , , ,33.39570556,-88.22931615, , , , ,GENERAL,121938,WEST ALABAMA CHAPTER, , , , , ,1100 VETERANS MEMORIAL PARKWAY,TUSCALOOSA,AL,35404, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656191,100,T,A,Street,-88.22931615,33.39570556,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.757979880099998e+01,
    3.322246915400007e+01
  ],
  ""type"": ""Point""
}",73642,Northport Baptist Church,1004 Main Ave,Northport,Tuscaloosa, ,AL,35476,NO,1004 MAIN AVE, ,Northport, ,AL,35476,EVAC,200,100, ,YES, , , , ,33.22246915,-87.5797988, , , , ,GENERAL,121938,WEST ALABAMA CHAPTER, , , , , ,1100 VETERANS MEMORIAL PARKWAY,TUSCALOOSA,AL,35404, , , , ,8,GENERAL,9233,CLOSED,2021-06-21 12:09:00.000,2021-06-28 13:18:10.000,OVERNIGHT,0,,,,0,,,084-21,UNK,656269,100,M,A,Street,-87.5797988,33.22246915,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.772994061399999e+01,
    3.434574035600008e+01
  ],
  ""type"": ""Point""
}",73645,NORTHWEST SHOALS COMMUNITY COLLEGE,2080 COLLEGE RD,PHIL CAMPBELL,FRANKLIN, ,AL,35581,NO,2080 COLLEGE RD, ,PHIL CAMPBELL, ,AL,35581,EVAC,386,0, ,YES, , , , ,34.34574036,-87.72994061, , , , ,OTHER,121182,ARC OF NORTHWEST ALABAMA, , , , , ,318 SOUTH COURT ST,FLORENCE,AL,35631, , , , ,8,OTHER,0,CLOSED,2020-08-31 08:00:00.000,, ,0,0,0, ,0,0, , , ,656270,100,M,A,Street,-87.72994061,34.34574036,SHELTER,OTHER,0
"{
  ""coordinates"": [
    -8.767983938299994e+01,
    3.473044334000008e+01
  ],
  ""type"": ""Point""
}",73646,Northwest Shoals Community College Muscle Shoals,800 George Wallace Blvd,MUSCLE SHOALS,COLBERT, ,AL,35661,NO, , , , , , ,EVAC,1445,0, , , , , , ,34.73044334,-87.67983938, , , , ,GENERAL,121182,ARC OF NORTHWEST ALABAMA, , , , , ,318 SOUTH COURT ST,FLORENCE,AL,35631, , , , ,8,GENERAL,0,CLOSED,2020-08-31 08:00:00.000,, ,0,0,0, ,0,0, , , ,656271,100,M,A,Street,-87.67983938,34.73044334,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.696489635699999e+01,
    3.340636252300004e+01
  ],
  ""type"": ""Point""
}",73621,New Bethlehem Baptist Church,1730 11th Ave. N.,BESSEMER,JEFFERSON, ,AL,35020,YES,1730 11th Ave. N., ,BESSEMER, ,AL,35020,BOTH,250,125, , , , , , ,33.40636252,-86.96489636, , , , ,GENERAL,121209,BIRMINGHAM AREA CHAPTER, , , , , ,950 22ND ST NORTH,BIRMINGHAM,AL,35203, , , , ,8,GENERAL,2540,CLOSED,,2011-09-06 00:00:00.000,OVERNIGHT,0,,,,0,,AL0911-01,"09/02/2011 AL 09/11 Hurricanes, Tropical Storms, Typhoons - MOBILE",UNK,656552,100,M,A,Street,-86.96489636,33.40636252,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.815168667199998e+01,
    3.312975804600006e+01
  ],
  ""type"": ""Point""
}",73071,ALICEVILLE FIRST BAPTIST CHURCH,323 BROAD ST NW,ALICEVILLE,PICKENS, ,AL,35442,NO,323 BROAD ST NW, ,ALICEVILLE, ,AL,35442,EVAC,75,37, , , , , , ,33.12975805,-88.15168667, , , , ,GENERAL,121938,WEST ALABAMA CHAPTER, , , , , ,1100 VETERANS MEMORIAL PARKWAY,TUSCALOOSA,AL,35404, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656638,100,M,A,Street,-88.15168667,33.12975805,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.765580949899999e+01,
    3.483056486200007e+01
  ],
  ""type"": ""Point""
}",73915,WOODMONT BAPTIST CHURCH,2001 DARBY DR,FLORENCE,LAUDERDALE, ,AL,35630,NO,2001 DARBY DR, ,FLORENCE, ,AL,35630,EVAC,250,0, , , , , , ,34.83056486,-87.6558095, , , , ,GENERAL,121182,ARC OF NORTHWEST ALABAMA, , , , , ,318 SOUTH COURT ST,FLORENCE,AL,35631, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656647,100,M,A,Street,-87.6558095,34.83056486,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.647233768099994e+01,
    3.246286579600007e+01
  ],
  ""type"": ""Point""
}",73391,First United Methodist Church Of Prattville,100 EAST FOURTH STREET,PRATTVILLE,AUTAUGA, ,AL,36066,NO, , , , , , ,EVAC,100,50, , , , , , ,32.4628658,-86.47233768, , , , ,OTHER,121169,ARC OF CENTRAL ALABAMA, , , , , ,5015 WOODS CROSSING,MONTGOMERY,AL,36106, , , , ,8,OTHER,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656658,81,M,A,Street,-86.47233768,32.4628658,SHELTER,OTHER,0
"{
  ""coordinates"": [
    -9.417290846199995e+01,
    3.311464044300004e+01
  ],
  ""type"": ""Point""
}",70783,Westside Baptist Church,712 West Main,ATLANTA,CASS, ,TX,75551,NO, , , , , , ,BOTH,50,25, , , , , , ,33.11464044,-94.17290846, , , , ,GENERAL,119218,FEMA Operational Entity, , , , , ,500 C St Sw,Austin,TX,20472, , , , , ,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656685,86,M,A,Street,-94.17290846,33.11464044,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.416683803899997e+01,
    3.311941584300007e+01
  ],
  ""type"": ""Point""
}",70784,First Baptist Church Allday Street,205 Allday,ATLANTA,CASS, ,TX,75551,NO, , , , , , ,BOTH,50,25, , , , , , ,33.11941584,-94.16683804, , , , ,GENERAL,119218,FEMA Operational Entity, , , , , ,500 C St Sw,Austin,TX,20472, , , , , ,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656686,86,M,A,Street,-94.16683804,33.11941584,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.436314204999996e+01,
    3.254764488300003e+01
  ],
  ""type"": ""Point""
}",70787,St. Joseph Catholic Church,419 Alamo Blvd.,MARSHALL,HARRISON, ,TX,75670,NO, , , , , , ,BOTH,50,25, , , , , , ,32.54764488,-94.36314205, , , , ,GENERAL,119218,FEMA Operational Entity, , , , , ,500 C St Sw,Austin,TX,20472, , , , , ,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656687,87,T,A,Street,-94.36314205,32.54764488,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.437413176599995e+01,
    3.254037836100002e+01
  ],
  ""type"": ""Point""
}",70788,Spring Street Community,700 Spring Street,MARSHALL,HARRISON, ,TX,75670,NO, , , , , , ,BOTH,50,25, , , , , , ,32.54037836,-94.37413177, , , , ,GENERAL,119218,FEMA Operational Entity, , , , , ,500 C St Sw,Austin,TX,20472, , , , , ,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656688,100,M,A,Street,-94.37413177,32.54037836,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.431322068499998e+01,
    3.216190767800003e+01
  ],
  ""type"": ""Point""
}",70790,Southside Baptist Church,1501 W Sabine Street,CARTHAGE,PANOLA, ,TX,75633,NO, , , , , , ,BOTH,50,25, , , , , , ,32.16190768,-94.31322069, , , , ,GENERAL,119218,FEMA Operational Entity, , , , , ,500 C St Sw,Austin,TX,20472, , , , , ,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656689,87,M,A,Street,-94.31322069,32.16190768,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.807894950699995e+01,
    3.066086726600003e+01
  ],
  ""type"": ""Point""
}",73714,Revelation Missionary Baptist Church,1711 Taylor Lane,MOBILE,MOBILE, ,AL,36605,YES,1711 Taylor Lane, ,MOBILE, ,AL,36605,POST,0,257, ,YES, , , ,YES,30.66086727,-88.07894951, , , , ,GENERAL,121128,Alabama Gulf Coast, , , , , ,853 Dauphin,Mobile,AL,36602, , , , ,8 - 4:30,GENERAL,0,CLOSED,2018-09-04 00:00:00.000,, ,0,0,0, ,0,0, , , ,656840,100,M,A,Street,-88.07894951,30.66086727,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.769401269899998e+01,
    3.482122090600006e+01
  ],
  ""type"": ""Point""
}",73469,HIBBETT SCHOOL,1601 APPLEBY BLVD,FLORENCE,LAUDERDALE, ,AL,35630,NO,1601 APPLEBY BLVD, ,FLORENCE, ,AL,35630,EVAC,200,0, , , , , , ,34.82122091,-87.6940127, , , , ,GENERAL,121182,ARC OF NORTHWEST ALABAMA, , , , , ,318 SOUTH COURT ST,FLORENCE,AL,35631, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656884,100,M,A,Street,-87.6940127,34.82122091,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.767953361399998e+01,
    3.481851394600005e+01
  ],
  ""type"": ""Point""
}",73470,HIGHLAND BAPTIST CHURCH,219 SIMPSON ST,FLORENCE,LAUDERDALE, ,AL,35630,NO,219 SIMPSON ST, ,FLORENCE, ,AL,35630,EVAC,300,0, , , , , , ,34.81851395,-87.67953361, , , , ,GENERAL,121182,ARC OF NORTHWEST ALABAMA, , , , , ,318 SOUTH COURT ST,FLORENCE,AL,35631, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656885,100,M,A,Street,-87.67953361,34.81851395,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.753222466499994e+01,
    3.388235568600004e+01
  ],
  ""type"": ""Point""
}",73387,First United Methodist Church Carbon Hill,178 NW 4TH AVE,CARBON HILL,WALKER, ,AL,35549,YES,178 NW 4TH AVE, ,CARBON HILL, ,AL,35549,EVAC,300,150, , , , , , ,33.88235569,-87.53222467, , , , ,GENERAL,121209,BIRMINGHAM AREA CHAPTER, , , , , ,950 22ND ST NORTH,BIRMINGHAM,AL,35203, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656906,87,M,A,Street,-87.53222467,33.88235569,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.645221085399999e+01,
    3.132290317800005e+01
  ],
  ""type"": ""Point""
}",73556,Lurleen B. Wallace Community College Andalusia,1000 Dannelly Blvd,ANDALUSIA,COVINGTON, ,AL,36420,NO, , , , , , ,EVAC,157,0, , , , , , ,31.32290318,-86.45221085, , , , ,GENERAL,121325,COVINGTON COUNTY CHAPTER, , , , , ,234 HILLCREST DR,ANDALUSIA,AL,36420, , , , ,8,GENERAL,0,CLOSED,2020-08-31 08:00:00.000,, ,0,0,0, ,0,0, , , ,656908,100,M,A,Street,-86.45221085,31.32290318,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.687337235399997e+01,
    3.278326725500006e+01
  ],
  ""type"": ""Point""
}",73562,MAPLESVILLE BAPTIST CHURCH,9391 HIGHWAY 22,MAPLESVILLE,CHILTON, ,AL,36750,NO, , , , , , ,EVAC,75,0, , , , , , ,32.78326726,-86.87337235, , , , ,OTHER,121169,ARC OF CENTRAL ALABAMA, , , , , ,5015 WOODS CROSSING,MONTGOMERY,AL,36106, , , , ,8,OTHER,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656923,89,M,A,Street,-86.87337235,32.78326726,SHELTER,OTHER,0
"{
  ""coordinates"": [
    -8.640343162799996e+01,
    3.453815929700005e+01
  ],
  ""type"": ""Point""
}",73626,New Hope First Baptist Church,247 CHURCH AVE,NEW HOPE,MADISON, ,AL,35760,NO, , , , , , ,BOTH,225,175, , , , , , ,34.5381593,-86.40343163, , , , ,GENERAL,121564,MADISON-MARSHALL COUNTY, , , , , ,1101 WASHINGTON ST NW,HUNTSVILLE,AL,35801, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,656925,100,M,A,Street,-86.40343163,34.5381593,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.690217763799996e+01,
    3.453270940500005e+01
  ],
  ""type"": ""Point""
}",73696,Priceville Town Hall,242 MARCO DR,DECATUR,MORGAN, ,AL,35603,NO,242 MARCO DR, ,DECATUR, ,AL,35603,EVAC,30,0, , , , ,YES, ,34.53270941,-86.90217764, , , , ,GENERAL,121629,MORGAN-LAWRENCE COUNTY CHAPTER, , , , , ,431 HOLLY ST NE,DECATUR,AL,35601, , , , ,5-Aug,GENERAL,2070,CLOSED,2015-12-26 00:00:00.000,,OVERNIGHT,0,,,,0,,AL0111-03,SE AL 01/11 Blizzard - MORGAN,UNK,657117,100,M,A,Street,-86.90217764,34.53270941,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.684724704799999e+01,
    3.412265453300006e+01
  ],
  ""type"": ""Point""
}",73553,Living Faith Baptist Church,44 SCHAEFFEL RD,CULLMAN,CULLMAN, ,AL,35055,NO, , , , , , ,EVAC,100,0, , , , , , ,34.12265453,-86.84724705, , , , ,GENERAL,121333,CULLMAN COUNTY CHAPTER, , , , , ,424 3RD AVE SE,CULLMAN,AL,35055, , , , ,5-Aug,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,657252,100,M,A,Street,-86.84724705,34.12265453,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.645660853799995e+01,
    3.484331724800006e+01
  ],
  ""type"": ""Point""
}",73555,Locust Grove Baptist Church,171 COUNTY LAKE RD,NEW MARKET,MADISON, ,AL,35761,NO, , , , , , ,BOTH,225,175, , , , , , ,34.84331725,-86.45660854, , , , ,GENERAL,121564,MADISON-MARSHALL COUNTY, , , , , ,1101 WASHINGTON ST NW,HUNTSVILLE,AL,35801, , , , ,8,GENERAL,729,CLOSED,2020-03-02 12:00:00.000,2012-03-03 00:00:00.000,MIDDAY,0,0,,,0,,03/02/2012,"AL3/12 Tornadoes, Cyclones-Statewide",TOR,657253,100,M,A,Street,-86.45660854,34.84331725,SHELTER,GENPOPSHEL,0
